Region,Year,Month,Dengue_Cases,Risk_Score,Risk_Level,Outbreak
Region IV-B,2017,October,247,3.241480947161671,低,0
Region IV-B,2017,November,203,2.775258724939449,低,0
Region IV-B,2017,December,189,3.078,低,0
Region IV-B,2018,January,214,3.1650894127701363,低,0
Region IV-B,2018,February,277,4.194741641562292,中,0
Region IV-B,2018,March,203,5.064063492063493,中,0
Region IV-B,2018,April,198,5.495852386171663,中,0
Region IV-B,2018,May,238,5.624539254858531,中,0
Region IV-B,2018,June,471,6.664769374416434,高,0
Region IV-B,2018,July,1650,8.60051905283833,极高,1
Region IV-B,2018,August,1489,7.225480947161671,高,0
Region IV-B,2018,September,1582,6.812458025520484,高,0
Region IV-B,2018,October,637,6.475480947161671,高,0
Region IV-B,2018,November,470,6.475480947161671,高,0
Region IV-B,2018,December,590,6.710874704491725,高,0
Region IV-B,2019,January,435,6.886592058272782,高,0
Region IV-B,2019,February,710,7.944480738662085,高,0
Region IV-B,2019,March,799,8.375352112676056,极高,0
Region IV-B,2019,April,364,8.362902891222168,极高,0
Region IV-B,2019,May,248,6.318313637338795,高,0
Region IV-B,2019,June,941,7.461432413305025,高,0
Region IV-B,2019,July,1628,7.504593441786257,高,0
Region IV-B,2019,August,2125,6.957895806003662,高,1
Region IV-B,2019,September,1995,6.011061946902655,高,1
Region IV-B,2019,October,710,5.590080633189928,中,0
Region IV-B,2019,November,616,5.786119245034011,中,0
Region IV-B,2019,December,413,5.682222222222222,中,0
Region IV-B,2020,January,320,5.2023698360505595,中,0
Region IV-B,2020,February,607,6.0802829417272175,高,0
Region IV-B,2020,March,537,6.876666666666667,高,0
Region IV-B,2020,April,77,6.8811857195049955,高,0
Region IV-B,2020,May,111,4.233633049952326,中,0
Region IV-B,2020,June,196,4.108432432432433,中,0
Region IV-B,2020,July,467,4.8105190528383295,中,0
Region IV-B,2020,August,1048,6.928592058272782,高,0
Region IV-B,2020,September,694,5.75,中,0
Region IV-B,2020,October,438,5.475480947161671,中,0
Region IV-B,2020,November,390,4.794592058272782,中,0
Region IV-B,2020,December,192,4.223333333333334,中,0
Region IX,2016,January,596,3.212147613828338,低,0
